iter	Passed	Remaining
0	17	17672
1	24	12044
2	29	9738
3	35	8805
4	41	8166
5	46	7769
6	64	9087
7	69	8626
8	75	8301
9	80	7977
10	86	7758
11	91	7522
12	97	7391
13	103	7312
14	109	7163
15	115	7113
16	121	7044
17	128	6995
18	133	6911
19	139	6812
20	143	6680
21	148	6606
22	154	6549
23	160	6507
24	165	6471
25	171	6433
26	177	6401
27	184	6400
28	190	6391
29	197	6374
30	202	6322
31	208	6310
32	214	6273
33	220	6273
34	226	6254
35	235	6301
36	240	6261
37	245	6222
38	251	6200
39	257	6175
40	262	6144
41	267	6091
42	272	6060
43	279	6063
44	285	6052
45	290	6031
46	296	6012
47	302	5995
48	307	5963
49	312	5940
50	318	5931
51	323	5906
52	330	5903
53	336	5900
54	342	5892
55	348	5870
56	354	5861
57	359	5844
58	365	5823
59	370	5806
60	376	5788
61	381	5771
62	387	5757
63	392	5747
64	399	5741
65	405	5732
66	410	5721
67	416	5708
68	422	5700
69	428	5688
70	433	5674
71	439	5662
72	444	5649
73	450	5635
74	456	5624
75	461	5612
76	466	5593
77	486	5754
78	491	5732
79	497	5717
80	502	5695
81	507	5676
82	511	5656
83	517	5641
84	522	5627
85	528	5614
86	533	5602
87	539	5586
88	544	5572
89	549	5557
90	554	5540
91	559	5524
92	564	5509
93	569	5493
94	575	5479
95	580	5464
96	585	5450
97	590	5436
98	595	5416
99	599	5399
100	604	5383
101	609	5365
102	614	5348
103	618	5331
104	623	5316
105	628	5304
106	634	5293
107	639	5279
108	644	5265
109	649	5255
110	661	5299
111	666	5285
112	672	5275
113	676	5258
114	681	5242
115	685	5227
116	690	5210
117	695	5196
118	700	5183
119	704	5164
120	709	5151
121	713	5136
122	718	5124
123	724	5115
124	745	5219
125	750	5203
126	755	5192
127	761	5184
128	767	5179
129	773	5175
130	779	5172
131	785	5164
132	791	5160
133	797	5152
134	802	5144
135	808	5138
136	815	5134
137	820	5123
138	825	5114
139	831	5106
140	837	5099
141	842	5092
142	848	5083
143	853	5071
144	858	5059
145	863	5051
146	869	5043
147	875	5038
148	881	5032
149	886	5023
150	891	5011
151	896	5002
152	902	4996
153	908	4990
154	914	4984
155	919	4975
156	924	4966
157	929	4955
158	934	4944
159	940	4935
160	945	4924
161	950	4915
162	955	4904
163	959	4893
164	964	4883
165	969	4870
166	974	4859
167	978	4847
168	983	4834
169	987	4823
170	992	4810
171	996	4798
172	1001	4787
173	1006	4776
174	1011	4766
175	1017	4762
176	1023	4758
177	1028	4751
178	1034	4746
179	1040	4740
180	1046	4735
181	1052	4729
182	1057	4721
183	1062	4713
184	1068	4707
185	1073	4697
186	1078	4690
187	1084	4682
188	1089	4675
189	1095	4668
190	1100	4661
191	1105	4652
192	1111	4645
193	1116	4636
194	1121	4629
195	1126	4620
196	1132	4615
197	1138	4610
198	1143	4601
199	1148	4592
200	1153	4586
201	1159	4579
202	1179	4631
203	1184	4622
204	1189	4614
205	1195	4607
206	1200	4599
207	1206	4593
208	1211	4586
209	1217	4578
210	1222	4570
211	1227	4564
212	1233	4557
213	1238	4549
214	1244	4545
215	1261	4577
216	1266	4569
217	1271	4560
218	1276	4554
219	1282	4546
220	1288	4540
221	1293	4534
222	1299	4526
223	1303	4516
224	1311	4516
225	1316	4507
226	1321	4500
227	1327	4493
228	1333	4489
229	1339	4483
230	1343	4473
231	1350	4472
232	1355	4463
233	1360	4454
234	1366	4449
235	1372	4443
236	1378	4436
237	1384	4431
238	1389	4424
239	1395	4419
240	1401	4413
241	1407	4408
242	1413	4402
243	1419	4397
244	1424	4391
245	1430	4385
246	1436	4379
247	1442	4372
248	1448	4369
249	1454	4362
250	1459	4355
251	1464	4348
252	1469	4339
253	1475	4333
254	1481	4326
255	1486	4320
256	1492	4315
257	1498	4309
258	1504	4303
259	1509	4296
260	1515	4290
261	1521	4285
262	1527	4279
263	1531	4270
264	1538	4266
265	1543	4259
266	1549	4253
267	1554	4245
268	1560	4239
269	1565	4232
270	1571	4226
271	1576	4219
272	1582	4213
273	1587	4207
274	1593	4201
275	1598	4192
276	1603	4186
277	1609	4180
278	1615	4174
279	1629	4189
280	1634	4181
281	1639	4174
282	1645	4167
283	1650	4162
284	1656	4155
285	1661	4148
286	1666	4140
287	1672	4135
288	1677	4127
289	1682	4120
290	1687	4111
291	1693	4105
292	1698	4099
293	1704	4092
294	1709	4086
295	1715	4079
296	1720	4072
297	1726	4066
298	1732	4060
299	1738	4057
300	1744	4051
301	1748	4042
302	1753	4034
303	1758	4025
304	1763	4018
305	1769	4012
306	1775	4006
307	1780	3999
308	1786	3994
309	1792	3989
310	1798	3984
311	1803	3977
312	1808	3969
313	1814	3965
314	1821	3960
315	1826	3954
316	1833	3951
317	1839	3944
318	1845	3939
319	1851	3934
320	1858	3930
321	1864	3925
322	1870	3919
323	1885	3933
324	1891	3927
325	1896	3920
326	1902	3914
327	1907	3908
328	1911	3898
329	1917	3893
330	1923	3888
331	1929	3882
332	1934	3874
333	1939	3867
334	1944	3860
335	1951	3856
336	1956	3850
337	1959	3837
338	1963	3829
339	1969	3822
340	1974	3815
341	1978	3807
342	1983	3800
343	1988	3791
344	1993	3785
345	1998	3777
346	2003	3770
347	2008	3762
348	2012	3754
349	2017	3746
350	2022	3738
351	2026	3730
352	2031	3724
353	2037	3717
354	2043	3712
355	2048	3706
356	2053	3699
357	2059	3693
358	2065	3687
359	2070	3680
360	2075	3674
361	2081	3667
362	2086	3661
363	2092	3656
364	2098	3649
365	2103	3642
366	2107	3635
367	2111	3626
368	2116	3618
369	2121	3611
370	2126	3604
371	2131	3598
372	2136	3591
373	2142	3586
374	2148	3580
375	2153	3573
376	2158	3567
377	2163	3560
378	2168	3553
379	2174	3547
380	2179	3540
381	2184	3534
382	2190	3528
383	2195	3522
384	2201	3516
385	2205	3507
386	2209	3499
387	2214	3492
388	2219	3485
389	2223	3477
390	2228	3471
391	2234	3465
392	2239	3458
393	2243	3450
394	2247	3442
395	2252	3435
396	2257	3428
397	2261	3421
398	2266	3413
399	2271	3406
400	2276	3400
401	2282	3395
402	2288	3390
403	2294	3384
404	2299	3378
405	2304	3371
406	2310	3366
407	2315	3359
408	2320	3353
409	2326	3347
410	2331	3340
411	2336	3334
412	2342	3328
413	2347	3323
414	2353	3317
415	2359	3312
416	2364	3305
417	2369	3299
418	2374	3292
419	2379	3285
420	2383	3278
421	2388	3270
422	2394	3266
423	2400	3260
424	2405	3255
425	2411	3249
426	2417	3244
427	2423	3238
428	2429	3233
429	2434	3227
430	2439	3221
431	2445	3215
432	2450	3209
433	2456	3203
434	2461	3197
435	2467	3192
436	2473	3186
437	2479	3181
438	2484	3175
439	2489	3169
440	2495	3162
441	2500	3157
442	2506	3151
443	2511	3145
444	2517	3140
445	2523	3134
446	2528	3128
447	2533	3122
448	2537	3113
449	2542	3107
450	2547	3100
451	2552	3094
452	2557	3087
453	2562	3081
454	2567	3075
455	2571	3067
456	2577	3062
457	2583	3057
458	2589	3051
459	2594	3046
460	2600	3039
461	2605	3034
462	2610	3027
463	2616	3022
464	2622	3017
465	2628	3011
466	2634	3006
467	2641	3002
468	2647	2997
469	2652	2991
470	2657	2985
471	2663	2979
472	2668	2973
473	2673	2967
474	2679	2961
475	2684	2955
476	2690	2949
477	2695	2944
478	2701	2938
479	2706	2932
480	2711	2925
481	2716	2919
482	2721	2913
483	2726	2907
484	2732	2901
485	2737	2895
486	2743	2889
487	2748	2884
488	2753	2877
489	2758	2871
490	2764	2865
491	2769	2859
492	2774	2853
493	2779	2847
494	2784	2841
495	2789	2834
496	2795	2829
497	2800	2823
498	2805	2816
499	2810	2810
500	2815	2804
501	2821	2798
502	2826	2792
503	2831	2786
504	2837	2781
505	2842	2775
506	2848	2769
507	2853	2763
508	2859	2757
509	2864	2751
510	2869	2746
511	2875	2740
512	2880	2734
513	2885	2728
514	2891	2722
515	2896	2716
516	2901	2710
517	2905	2703
518	2910	2697
519	2914	2690
520	2919	2684
521	2923	2677
522	2929	2671
523	2933	2664
524	2938	2658
525	2942	2652
526	2947	2645
527	2952	2639
528	2957	2633
529	2961	2625
530	2967	2620
531	2973	2615
532	2978	2609
533	2983	2603
534	2988	2597
535	2994	2591
536	2999	2585
537	3003	2579
538	3009	2573
539	3014	2568
540	3019	2562
541	3023	2555
542	3028	2548
543	3033	2542
544	3038	2537
545	3044	2531
546	3049	2525
547	3055	2520
548	3061	2514
549	3067	2509
550	3072	2503
551	3077	2497
552	3082	2491
553	3087	2485
554	3093	2480
555	3099	2474
556	3105	2469
557	3111	2464
558	3117	2459
559	3122	2453
560	3128	2447
561	3132	2441
562	3137	2435
563	3142	2429
564	3147	2423
565	3153	2418
566	3159	2412
567	3164	2406
568	3170	2401
569	3175	2395
570	3181	2390
571	3187	2385
572	3193	2379
573	3212	2384
574	3218	2378
575	3223	2372
576	3228	2366
577	3234	2361
578	3239	2355
579	3246	2350
580	3251	2345
581	3257	2339
582	3263	2334
583	3268	2328
584	3274	2322
585	3280	2317
586	3286	2312
587	3292	2306
588	3297	2300
589	3303	2295
590	3309	2290
591	3315	2285
592	3321	2279
593	3327	2274
594	3333	2268
595	3339	2263
596	3345	2258
597	3350	2252
598	3356	2247
599	3362	2241
600	3367	2235
601	3373	2230
602	3379	2224
603	3384	2219
604	3389	2213
605	3394	2206
606	3399	2200
607	3405	2195
608	3410	2189
609	3416	2184
610	3421	2178
611	3427	2172
612	3432	2166
613	3437	2161
614	3442	2155
615	3448	2149
616	3453	2143
617	3457	2137
618	3463	2131
619	3468	2125
620	3474	2120
621	3478	2113
622	3482	2107
623	3487	2101
624	3491	2095
625	3497	2089
626	3503	2084
627	3507	2077
628	3513	2072
629	3518	2066
630	3523	2060
631	3528	2054
632	3533	2048
633	3539	2043
634	3545	2037
635	3551	2032
636	3558	2027
637	3564	2022
638	3570	2016
639	3575	2010
640	3580	2005
641	3586	1999
642	3591	1994
643	3597	1988
644	3601	1982
645	3607	1976
646	3612	1970
647	3617	1965
648	3622	1959
649	3627	1953
650	3632	1947
651	3638	1941
652	3643	1936
653	3649	1930
654	3655	1925
655	3660	1919
656	3665	1913
657	3671	1908
658	3676	1902
659	3681	1896
660	3687	1891
661	3693	1885
662	3698	1879
663	3702	1873
664	3707	1867
665	3712	1861
666	3716	1855
667	3721	1849
668	3727	1844
669	3733	1838
670	3739	1833
671	3745	1828
672	3751	1822
673	3756	1817
674	3763	1811
675	3768	1806
676	3774	1800
677	3780	1795
678	3785	1789
679	3792	1784
680	3798	1779
681	3803	1773
682	3809	1768
683	3815	1762
684	3821	1757
685	3827	1751
686	3833	1746
687	3838	1740
688	3844	1735
689	3848	1729
690	3853	1723
691	3858	1717
692	3864	1711
693	3869	1706
694	3875	1700
695	3879	1694
696	3885	1689
697	3890	1683
698	3896	1677
699	3900	1671
700	3906	1666
701	3913	1661
702	3919	1656
703	3925	1650
704	3930	1644
705	3935	1639
706	3941	1633
707	3947	1628
708	3952	1622
709	3957	1616
710	3962	1610
711	3967	1604
712	3973	1599
713	3978	1593
714	3983	1587
715	3988	1581
716	3993	1576
717	3999	1571
718	4005	1565
719	4010	1559
720	4016	1554
721	4022	1548
722	4027	1543
723	4032	1537
724	4036	1531
725	4042	1525
726	4047	1519
727	4052	1514
728	4058	1508
729	4063	1502
730	4068	1497
731	4073	1491
732	4079	1486
733	4085	1480
734	4091	1475
735	4096	1469
736	4102	1463
737	4107	1458
738	4113	1452
739	4118	1446
740	4124	1441
741	4130	1436
742	4135	1430
743	4141	1425
744	4146	1419
745	4152	1413
746	4157	1407
747	4163	1402
748	4168	1396
749	4173	1391
750	4178	1385
751	4183	1379
752	4188	1374
753	4194	1368
754	4198	1362
755	4203	1356
756	4208	1350
757	4213	1345
758	4218	1339
759	4223	1333
760	4228	1327
761	4241	1324
762	4246	1319
763	4251	1313
764	4256	1307
765	4260	1301
766	4265	1295
767	4270	1290
768	4275	1284
769	4280	1278
770	4285	1272
771	4291	1267
772	4295	1261
773	4300	1255
774	4306	1250
775	4312	1244
776	4317	1239
777	4323	1233
778	4328	1227
779	4333	1222
780	4339	1216
781	4344	1211
782	4352	1206
783	4357	1200
784	4362	1194
785	4367	1188
786	4371	1183
787	4376	1177
788	4381	1171
789	4386	1166
790	4391	1160
791	4396	1154
792	4401	1149
793	4407	1143
794	4413	1137
795	4418	1132
796	4423	1126
797	4429	1121
798	4435	1115
799	4440	1110
800	4446	1104
801	4451	1099
802	4456	1093
803	4462	1087
804	4468	1082
805	4474	1076
806	4479	1071
807	4485	1065
808	4490	1060
809	4496	1054
810	4501	1049
811	4506	1043
812	4510	1037
813	4516	1032
814	4521	1026
815	4526	1020
816	4532	1015
817	4538	1009
818	4544	1004
819	4549	998
820	4555	993
821	4560	987
822	4566	982
823	4572	976
824	4578	971
825	4584	965
826	4589	960
827	4594	954
828	4600	948
829	4605	943
830	4611	937
831	4617	932
832	4622	926
833	4628	921
834	4633	915
835	4639	910
836	4645	904
837	4651	899
838	4657	893
839	4663	888
840	4668	882
841	4674	877
842	4679	871
843	4684	865
844	4689	860
845	4693	854
846	4699	848
847	4704	843
848	4709	837
849	4715	832
850	4721	826
851	4726	821
852	4731	815
853	4737	809
854	4743	804
855	4749	798
856	4755	793
857	4761	788
858	4766	782
859	4772	776
860	4778	771
861	4783	765
862	4789	760
863	4794	754
864	4801	749
865	4806	743
866	4811	738
867	4816	732
868	4822	726
869	4827	721
870	4832	715
871	4837	710
872	4843	704
873	4849	699
874	4855	693
875	4861	688
876	4866	682
877	4871	676
878	4877	671
879	4882	665
880	4887	660
881	4892	654
882	4898	649
883	4904	643
884	4909	637
885	4914	632
886	4919	626
887	4924	621
888	4929	615
889	4935	609
890	4941	604
891	4946	598
